date,nav
20111110,449.92
20111111,449.78
20111114,451.27
20111115,451.46
20111116,449.18
20111117,448.67
20111118,446.7
20111121,446.63
20111122,446.77
20111123,446.86
20111124,446.96
20111125,446.93
20111128,446.84
20111129,447.44
20111130,445.03
20111201,447.51
20111202,446.43
20111205,444.95
20111206,444.8
20111207,445.16
20111208,445.29
20111209,444.66
20111212,444.33
20111213,442.81
20111214,442.22
20111215,441.28
20111216,443.26
20111219,443.21
20111220,443.14
20111221,441.87
20111222,441.44
20111223,441.56
20111226,440.7
20111227,439.44
20111228,439.45
20111229,439.88
20111230,441.84
20120104,440.89
20120105,439.9
20120106,440.51
20120109,442.88
20120110,445.57
20120111,444.77
20120112,444.71
20120113,442.74
20120116,441.17
20120117,443.84
20120118,442.28
20120119,443.82
20120120,445.46
20120130,444.88
20120131,445.03
20120201,444.73
20120202,445.96
20120203,446.54
20120206,446.65
20120207,445.16
20120208,446.57
20120209,446.6
20120210,446.74
20120213,446.78
20120214,446.8
20120215,447.52
20120216,447.37
20120217,447.27
20120220,448.04
20120221,448.38
20120222,449.31
20120223,449.39
20120224,450.22
20120227,450.7
20120228,450.79
20120229,449.93
20120301,449.92
20120302,451.38
20120305,451.04
20120306,450.46
20120307,450.15
20120308,451.4
20120309,453.23
20120312,453.63
20120313,454.48
20120314,452.27
20120315,452.23
20120316,454.0
20120319,454.27
20120320,452.98
20120321,452.51
20120322,452.51
20120323,452.06
20120326,452.24
20120327,451.85
20120328,449.89
20120329,449.4
20120330,449.82
20120405,451.43
20120406,451.84
20120409,451.35
20120410,451.85
20120411,452.29
20120412,453.99
20120413,454.67
20120416,454.83
20120417,453.93
20120418,455.76
20120419,455.77
20120420,456.65
20120423,455.99
20120424,455.82
20120425,456.39
20120426,456.82
20120427,457.48
20120502,459.12
20120503,459.75
20120504,460.5
20120507,460.55
20120508,460.2
20120509,458.96
20120510,459.38
20120511,459.41
20120514,459.68
20120515,460.31
20120516,459.87
20120517,461.13
20120518,460.55
20120521,461.2
20120522,462.91
20120523,463.24
20120524,463.17
20120525,462.91
20120528,464.46
20120529,465.52
20120530,466.14
20120531,466.07
20120601,466.23
20120604,464.24
20120605,464.67
20120606,464.66
20120607,465.09
20120608,465.84
20120611,467.22
20120612,467.31
20120613,469.08
20120614,468.45
20120615,468.87
20120618,469.6
20120619,468.43
20120620,467.87
20120621,466.91
20120625,465.43
20120626,465.1
20120627,465.72
20120628,465.08
20120629,466.41
20120702,467.06
20120703,467.4
20120704,467.7
20120705,466.88
20120706,468.94
20120709,467.96
20120710,467.14
20120711,468.11
20120712,468.76
20120713,469.08
20120716,467.63
20120717,467.29
20120718,466.99
20120719,467.42
20120720,466.99
20120723,465.93
20120724,466.01
20120725,465.7
20120726,464.64
20120727,464.51
20120730,463.67
20120731,463.04
20120801,464.07
20120802,463.43
20120803,463.89
20120806,464.85
20120807,464.93
20120808,465.3
20120809,466.42
20120810,466.29
20120813,465.14
20120814,465.17
20120815,464.44
20120816,463.91
20120817,463.53
20120820,462.94
20120821,463.5
20120822,462.55
20120823,462.05
20120824,461.52
20120827,459.76
20120828,460.0
20120829,459.15
20120830,458.57
20120831,458.74
20120903,459.76
20120904,459.32
20120905,458.68
20120906,458.48
20120907,461.2
20120910,461.22
20120911,460.32
20120912,460.11
20120913,459.37
20120914,459.28
20120917,457.11
20120918,456.54
20120919,456.19
20120920,455.2
20120921,455.2
20120924,455.32
20120925,455.49
20120926,455.2
20120927,457.09
20120928,458.83
20121008,458.3
20121009,460.28
20121010,460.95
20121011,460.37
20121012,460.54
20121015,460.21
20121016,460.45
20121017,460.88
20121018,462.49
20121019,462.63
20121022,462.84
20121023,461.38
20121024,460.81
20121025,460.01
20121026,458.5
20121029,458.1
20121030,458.44
20121031,458.85
20121101,460.42
20121102,461.0
20121105,460.22
20121106,459.44
20121107,459.55
20121108,458.27
20121109,458.24
20121112,458.6
20121113,457.35
20121114,457.67
20121115,456.98
20121116,456.64
20121119,456.58
20121120,456.41
20121121,456.84
20121122,456.29
20121123,457.09
20121126,456.91
20121127,455.92
20121128,454.8
20121129,454.53
20121130,455.42
20121203,454.42
20121204,454.98
20121205,457.26
20121206,457.45
20121207,459.63
20121210,461.28
20121211,460.59
20121212,460.79
20121213,459.88
20121214,464.13
20121217,465.03
20121218,464.82
20121219,464.98
20121220,465.44
20121221,465.35
20121224,465.23
20121225,468.17
20121226,469.08
20121227,468.84
20121228,470.03
20121231,471.73
20130104,472.45
20130107,473.18
20130108,473.47
20130109,474.18
20130110,475.8
20130111,474.43
20130114,479.95
20130115,482.36
20130116,482.84
20130117,482.25
20130118,484.69
20130121,485.71
20130122,484.07
20130123,484.04
20130124,482.4
20130125,481.34
20130128,485.04
20130129,486.05
20130130,486.87
20130131,488.89
20130201,490.78
20130204,490.13
20130205,490.69
20130206,491.49
20130207,492.29
20130208,494.57
20130218,494.44
20130219,492.09
20130220,494.45
20130221,491.03
20130222,489.98
20130225,490.72
20130226,489.34
20130227,489.46
20130228,492.77
20130301,493.57
20130304,488.88
20130305,491.06
20130306,493.86
20130307,492.91
20130308,492.49
20130311,492.05
20130312,490.8
20130313,489.56
20130314,489.87
20130315,490.24
20130318,488.78
20130319,488.9
20130320,492.27
20130321,494.12
20130322,496.04
20130325,496.74
20130326,495.44
20130327,495.63
20130328,492.05
20130329,492.12
20130401,492.41
20130402,490.56
20130403,490.02
20130408,490.61
20130409,491.97
20130410,492.06
20130411,492.55
20130412,492.28
20130415,489.99
20130416,490.75
20130417,490.99
20130418,490.61
20130419,493.19
20130422,492.06
20130423,487.88
20130424,490.21
20130425,489.5
20130426,488.79
20130502,488.78
20130503,491.07
20130506,493.41
20130507,494.4
20130508,495.72
20130509,495.25
20130510,495.59
20130513,495.95
20130514,494.3
20130515,495.65
20130516,498.04
20130517,501.52
20130520,503.15
20130521,502.97
20130522,500.9
20130523,499.98
20130524,501.19
20130527,502.11
20130528,504.23
20130529,505.08
20130530,504.61
20130531,503.8
20130603,503.18
20130604,500.78
20130605,501.01
20130606,499.06
20130607,497.26
20130613,493.32
20130614,494.5
20130617,494.69
20130618,495.14
20130619,493.11
20130620,485.27
20130621,485.66
20130624,477.91
20130625,479.74
20130626,483.05
20130627,483.05
20130628,484.49
20130701,488.03
20130702,489.46
20130703,488.94
20130704,489.48
20130705,489.89
20130708,486.55
20130709,486.69
20130710,489.14
20130711,492.12
20130712,490.56
20130715,492.6
20130716,492.62
20130717,490.15
20130718,488.17
20130719,485.83
20130722,486.41
20130723,489.09
20130724,488.85
20130725,487.22
20130726,487.25
20130729,484.89
20130730,484.43
20130731,485.17
20130801,488.77
20130802,489.63
20130805,491.33
20130806,492.66
20130807,491.27
20130808,491.08
20130809,490.9
20130812,493.1
20130813,493.4
20130814,492.42
20130815,490.51
20130816,488.48
20130819,490.64
20130820,489.93
20130821,489.13
20130822,489.15
20130823,489.03
20130826,491.32
20130827,491.95
20130828,490.99
20130829,490.55
20130830,489.84
20130902,490.29
20130903,492.52
20130904,492.18
20130905,492.22
20130906,492.77
20130909,496.09
20130910,497.93
20130911,499.42
20130912,500.74
20130913,499.22
20130916,498.28
20130917,495.91
20130918,496.94
20130923,499.01
20130924,498.38
20130925,497.65
20130926,495.22
20130927,495.41
20130930,496.24
20131008,498.56
20131009,499.67
20131010,498.74
20131011,499.75
20131014,500.41
20131015,499.78
20131016,497.54
20131017,496.9
20131018,497.23
20131021,499.34
20131022,497.96
20131023,496.31
20131024,494.92
20131025,492.8
20131028,492.15
20131029,491.36
20131030,493.06
20131031,491.79
20131101,492.26
20131104,492.21
20131105,492.47
20131106,491.14
20131107,490.14
20131108,488.62
20131111,488.47
20131112,489.07
20131113,486.6
20131114,486.83
20131115,487.07
20131118,489.38
20131119,488.79
20131120,488.94
20131121,488.52
20131122,488.28
20131125,487.78
20131126,487.25
20131127,487.99
20131128,488.89
20131129,489.7
20131202,487.02
20131203,488.55
20131204,490.09
20131205,489.37
20131206,488.58
20131209,489.07
20131210,488.86
20131211,487.53
20131212,487.6
20131213,488.04
20131216,486.1
20131217,485.35
20131218,484.63
20131219,482.58
20131220,481.13
20131223,481.43
20131224,482.08
20131225,483.39
20131226,482.16
20131227,483.23
20131230,483.35
20131231,484.07
20140102,484.61
20140103,483.88
20140106,481.5
20140107,481.48
20140108,481.67
20140109,480.97
20140110,479.58
20140113,478.85
20140114,479.91
20140115,480.5
20140116,480.63
20140117,479.48
20140120,477.65
20140121,479.16
20140122,482.01
20140123,483.0
20140124,484.48
20140127,484.67
20140128,485.43
20140129,487.54
20140130,487.37
20140207,488.66
20140210,492.26
20140211,491.95
20140212,492.81
20140213,492.48
20140214,494.61
20140217,496.43
20140218,495.77
20140219,495.99
20140220,496.42
20140221,496.46
20140224,496.08
20140225,494.67
20140226,495.13
20140227,495.83
20140228,495.77
20140303,497.17
20140304,496.33
20140305,494.94
20140306,494.88
20140307,495.22
20140310,492.74
20140311,492.72
20140312,492.13
20140313,493.39
20140314,493.4
20140317,494.71
20140318,495.02
20140319,493.93
20140320,492.18
20140321,493.87
20140324,493.88
20140325,493.9
20140326,493.93
20140327,492.96
20140328,491.44
20140331,491.25
20140401,492.39
20140402,492.49
20140403,492.08
20140404,493.18
20140408,495.17
20140409,495.76
20140410,497.18
20140411,497.26
20140414,498.06
20140415,497.06
20140416,497.19
20140417,497.46
20140418,497.89
20140421,496.77
20140422,496.7
20140423,496.5
20140424,496.29
20140425,495.2
20140428,493.14
20140429,493.93
20140430,494.73
20140505,495.49
20140506,496.45
20140507,495.71
20140508,496.22
20140509,496.54
20140512,498.44
20140513,498.42
20140514,498.22
20140515,496.88
20140516,496.67
20140519,495.76
20140520,495.76
20140521,496.85
20140522,497.32
20140523,498.46
20140526,499.18
20140527,499.33
20140528,500.6
20140529,500.61
20140530,501.0
20140603,502.06
20140604,501.84
20140605,503.06
20140606,503.26
20140609,503.31
20140610,505.36
20140611,505.92
20140612,506.07
20140613,508.02
20140616,509.23
20140617,507.42
20140618,506.04
20140619,504.5
20140620,505.68
20140623,506.37
20140624,507.23
20140625,506.96
20140626,508.4
20140627,509.01
20140630,509.85
20140701,509.16
20140702,509.58
20140703,510.4
20140704,509.79
20140707,510.0
20140708,510.46
20140709,508.87
20140710,508.6
20140711,509.47
20140714,511.08
20140715,511.0
20140716,510.22
20140717,509.14
20140718,509.44
20140721,509.34
20140722,511.36
20140723,511.23
20140724,511.87
20140725,512.71
20140728,514.99
20140729,515.99
20140730,515.99
20140731,517.4
20140801,517.87
20140804,519.98
20140805,519.77
20140806,519.88
20140807,518.49
20140808,518.96
20140811,520.98
20140812,521.33
20140813,521.15
20140814,520.52
20140815,521.91
20140818,523.22
20140819,523.55
20140820,523.39
20140821,522.73
20140822,523.66
20140825,523.08
20140826,521.7
20140827,522.27
20140828,521.93
20140829,523.44
20140901,525.83
20140902,527.9
20140903,529.6
20140904,530.76
20140905,532.02
20140909,531.88
20140910,531.65
20140911,531.4
20140912,533.05
20140915,533.49
20140916,529.58
20140917,530.14
20140918,531.53
20140919,533.34
