date,nav
20040525,1.0916
20040526,1.0952
20040527,1.1023
20040528,1.1014
20040531,1.1029
20040601,1.1082
20040602,1.1048
20040603,1.1011
20040604,1.1013
20040607,1.0977
20040608,1.0935
20040609,1.0908
20040610,1.0918
20040611,1.0917
20040614,1.0845
20040615,1.0883
20040616,1.0912
20040617,1.081
20040618,1.0758
20040621,1.0762
20040622,1.0806
20040623,1.079
20040624,1.0767
20040625,1.0735
20040628,1.0719
20040629,1.0772
20040630,1.0772
20040701,1.0857
20040702,1.087
20040705,1.0867
20040706,1.0888
20040707,1.0876
20040708,1.0882
20040709,1.0873
20040712,1.0825
20040713,1.0836
20040714,1.0876
20040715,1.0928
20040716,1.0997
20040719,1.1015
20040720,1.0982
20040721,1.0997
20040722,1.0898
20040723,1.0903
20040726,1.0878
20040727,1.0881
20040728,1.0902
20040729,1.0932
20040730,1.0903
20040802,1.0874
20040803,1.0835
20040804,1.0943
20040805,1.0892
20040806,1.0896
20040809,1.0925
20040810,1.0942
20040811,1.0915
20040812,1.0885
20040813,1.0883
20040816,1.0864
20040817,1.0894
20040818,1.0907
20040819,1.0902
20040820,1.0893
20040823,1.086
20040824,1.0868
20040825,1.0877
20040826,1.0868
20040827,1.0826
20040830,1.0813
20040831,1.0863
20040901,1.0812
20040902,1.0803
20040903,1.0801
20040906,1.0788
20040907,1.0794
20040908,1.0768
20040909,1.0727
20040910,1.0734
20040913,1.0681
20040914,1.0751
20040915,1.0848
20040916,1.0873
20040917,1.0969
20040920,1.106
20040921,1.1031
20040922,1.0972
20040923,1.1085
20040924,1.1073
20040927,1.1088
20040928,1.1103
20040929,1.1079
20040930,1.1055
20041008,1.1097
20041011,1.1068
20041012,1.1012
20041013,1.099
20041014,1.0921
20041015,1.0919
20041018,1.0927
20041019,1.0939
20041020,1.0952
20041021,1.0932
20041022,1.0986
20041025,1.0931
20041026,1.0974
20041027,1.0991
20041028,1.0982
20041029,1.0921
20041101,1.0901
20041102,1.0891
20041103,1.0944
20041104,1.086
20041105,1.0858
20041108,1.0872
20041109,1.0887
20041110,1.0965
20041111,1.0936
20041112,1.0952
20041115,1.0983
20041116,1.0976
20041117,1.0963
20041118,1.0987
20041119,1.0993
20041122,1.098
20041123,1.0938
20041124,1.0935
20041125,1.0935
20041126,1.0937
20041129,1.0932
20041130,1.0936
20041201,1.0938
20041202,1.0899
20041203,1.0909
20041206,1.0908
20041207,1.0896
20041208,1.0908
20041209,1.0934
20041210,1.091
20041213,1.0916
20041214,1.0914
20041215,1.0935
20041216,1.0926
20041217,1.0896
20041220,1.0858
20041221,1.0851
20041222,1.0896
20041223,1.0858
20041224,1.0859
20041227,1.0855
20041228,1.0862
20041229,1.0865
20041230,1.0867
20041231,1.0883
20050104,1.0828
20050105,1.0855
20050106,1.0824
20050107,1.0824
20050110,1.0852
20050111,1.0859
20050112,1.0872
20050113,1.0868
20050114,1.0865
20050117,1.0829
20050118,1.0834
20050119,1.0815
20050120,1.08
20050121,1.0873
20050124,1.0917
20050125,1.093
20050126,1.0921
20050127,1.09
20050128,1.0893
20050131,1.09
20050201,1.0926
20050202,1.1048
20050203,1.1037
20050204,1.1103
20050216,1.1126
20050217,1.1092
20050218,1.1066
20050221,1.1135
20050222,1.1185
20050223,1.1166
20050224,1.1154
20050225,1.1166
20050228,1.1145
20050301,1.1126
20050302,1.1101
20050303,1.1105
20050304,1.1113
20050307,1.1132
20050308,1.1196
20050309,1.1188
20050310,1.114
20050311,1.1176
20050314,1.1225
20050315,1.1154
20050316,1.1115
20050317,1.1088
20050318,1.1058
20050321,1.1073
20050322,1.1085
20050323,1.105
20050324,1.1044
20050325,1.1053
20050328,1.1061
20050329,1.1053
20050330,1.1036
20050331,1.1049
20050401,1.115
20050404,1.114
20050405,1.1127
20050406,1.1212
20050407,1.1219
20050408,1.1255
20050411,1.1221
20050412,1.1217
20050413,1.1253
20050414,1.1232
20050415,1.1219
20050418,1.1185
20050419,1.1179
20050420,1.1158
20050421,1.1204
20050422,1.1172
20050425,1.1193
20050426,1.1218
20050427,1.1164
20050428,1.1186
20050429,1.1152
20050509,1.1091
20050510,1.1087
20050511,1.1007
20050512,1.0934
20050513,1.0936
20050516,1.0903
20050517,1.0945
20050518,1.0931
20050519,1.0941
20050520,1.0956
20050523,1.0907
20050524,1.0905
20050525,1.094
20050526,1.0935
20050527,1.0911
20050530,1.0901
20050531,1.0936
20050601,1.0886
20050602,1.0805
20050603,1.0822
20050606,1.0906
20050607,1.0893
20050608,1.1114
20050609,1.1139
20050610,1.1074
20050613,1.105
20050614,1.1053
20050615,1.1058
20050616,1.1117
20050617,1.1146
20050620,1.1192
20050621,1.1172
20050622,1.1184
20050623,1.1165
20050624,1.1168
20050627,1.1199
20050628,1.1169
20050629,1.1175
20050630,1.1128
20050701,1.112
20050704,1.1119
20050705,1.1112
20050706,1.1097
20050707,1.1107
20050708,1.1083
20050711,1.1083
20050712,1.1172
20050713,1.1181
20050714,1.1193
20050715,1.1175
20050718,1.1168
20050719,1.1163
20050720,1.1201
20050721,1.1215
20050722,1.1246
20050725,1.1275
20050726,1.1332
20050727,1.138
20050728,1.1376
20050729,1.138
20050801,1.1392
20050802,1.1424
20050803,1.141
20050804,1.1367
20050805,1.1425
20050808,1.1407
20050809,1.1413
20050810,1.1413
20050811,1.1422
20050812,1.1389
20050815,1.1495
20050816,1.1453
20050817,1.1463
20050818,1.1452
20050819,1.147
20050822,1.1515
20050823,1.1519
20050824,1.1522
20050825,1.1516
20050826,1.1494
20050829,1.1453
20050830,1.1459
20050831,1.1489
20050901,1.1508
20050902,1.1508
20050905,1.1492
20050906,1.1474
20050907,1.1504
20050908,1.1505
20050909,1.1514
20050912,1.1513
20050913,1.1522
20050914,1.1526
20050915,1.1534
20050916,1.1532
20050919,1.1534
20050920,1.153
20050921,1.1495
20050922,1.144
20050923,1.142
20050926,1.1418
20050927,1.139
20050928,1.1404
20050929,1.1426
20050930,1.1453
20051010,1.1425
20051011,1.1449
20051012,1.147
20051013,1.1486
20051014,1.1453
20051017,1.1433
20051018,1.1423
20051019,1.146
20051020,1.1491
20051021,1.1457
20051024,1.1475
20051025,1.1451
20051026,1.141
20051027,1.139
20051028,1.1377
20051031,1.1327
20051101,1.1325
20051102,1.1342
20051103,1.1322
20051104,1.1359
20051107,1.1344
20051108,1.1328
20051109,1.1315
20051110,1.1278
20051111,1.1273
20051114,1.128
20051115,1.1274
20051116,1.1294
20051117,1.128
20051118,1.1314
20051121,1.1314
20051122,1.1296
20051123,1.1335
20051124,1.1367
20051125,1.1394
20051128,1.1387
20051129,1.1363
20051130,1.1359
20051201,1.1354
20051202,1.1392
20051205,1.1464
20051206,1.1477
20051207,1.1549
20051208,1.1559
20051209,1.1624
20051212,1.1654
20051213,1.165
20051214,1.1704
20051215,1.1697
20051216,1.1758
20051219,1.1764
20051220,1.1757
20051221,1.1726
20051222,1.1801
20051223,1.182
20051226,1.1869
20051227,1.1867
20051228,1.188
20051229,1.1974
20051230,1.1926
20051231,1.1927
20060104,1.2104
20060105,1.2146
20060106,1.2174
20060109,1.2155
20060110,1.22
20060111,1.2147
20060112,1.2169
20060113,1.2111
20060116,1.2048
20060117,1.2081
20060118,1.2149
20060119,1.2163
20060120,1.2152
20060123,1.2156
20060124,1.2203
20060125,1.2234
20060206,1.2332
20060207,1.2303
20060208,1.2304
20060209,1.2253
20060210,1.2348
20060213,1.2338
20060214,1.2385
20060215,1.2442
20060216,1.2389
20060217,1.2404
20060220,1.2295
20060221,1.2345
20060222,1.2349
20060223,1.2345
20060224,1.2473
20060227,1.2531
20060228,1.2537
20060301,1.2542
20060302,1.2549
20060303,1.2584
20060306,1.2574
20060307,1.2469
20060308,1.2395
20060309,1.2389
20060310,1.2423
20060313,1.2534
20060314,1.2512
20060315,1.2581
20060316,1.2575
20060317,1.2563
20060320,1.2628
20060321,1.267
20060322,1.2688
20060323,1.2694
20060324,1.2673
20060327,1.2729
20060328,1.2774
20060329,1.2809
20060330,1.2796
20060331,1.2845
20060403,1.2996
20060404,1.3007
20060405,1.3057
20060406,1.3083
20060407,1.3022
20060410,1.3032
20060411,1.304
20060412,1.3003
20060413,1.29
20060414,1.3012
20060417,1.3006
20060418,1.3041
20060419,1.3093
20060420,1.307
20060421,1.3172
20060424,1.3088
20060425,1.3062
20060426,1.3106
20060427,1.3081
20060428,1.3156
20060508,1.3401
20060509,1.3491
20060510,1.3433
20060511,1.3312
20060512,1.3393
20060515,1.3526
20060516,1.3396
20060517,1.3433
20060518,1.3429
20060519,1.3514
20060522,1.3528
20060523,1.3405
20060524,1.3411
20060525,1.3417
20060526,1.3467
20060529,1.3528
20060530,1.3514
20060531,1.3484
20060601,1.3539
20060602,1.3439
20060605,1.3472
20060606,1.3453
20060607,1.3272
20060608,1.3236
20060609,1.3187
20060612,1.3238
20060613,1.3189
20060614,1.3127
20060615,1.3164
20060616,1.3269
20060619,1.3341
20060620,1.3345
20060621,1.3302
20060622,1.3298
20060623,1.3359
20060626,1.3454
20060627,1.343
20060628,1.3429
20060629,1.3582
20060630,1.3568
20060703,1.365
20060704,1.3581
20060705,1.352
20060706,1.358
20060707,1.353
20060710,1.3602
20060711,1.3593
20060712,1.3622
20060713,1.3421
20060714,1.3496
20060717,1.3565
20060718,1.3545
20060719,1.3466
20060720,1.3482
20060721,1.3551
20060724,1.3551
20060725,1.3579
20060726,1.3568
20060727,1.3481
20060728,1.3447
20060731,1.3264
20060801,1.3259
20060802,1.328
20060803,1.3315
20060804,1.3274
20060807,1.3218
20060808,1.3325
20060809,1.3326
20060810,1.3414
20060811,1.3396
20060814,1.3365
20060815,1.3452
20060816,1.3515
20060817,1.3484
20060818,1.3453
20060821,1.3466
20060822,1.3483
20060823,1.3548
20060824,1.3578
20060825,1.3572
20060828,1.3687
20060829,1.3698
20060830,1.3753
